Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,Link,Publisher,Document Type,Source,EID
Fang Z.; Kou W.; Sui Y.; Liu C.; Li X.; Peng L.; Ding W.; Guo X.; Hou W.,"Fang, Zhitang (57202849530); Kou, Weizhi (57224559883); Sui, Yangyang (57343393900); Liu, Cong (57201260011); Li, Xiaoge (56263945800); Peng, Luming (7201574067); Ding, Weiping (7201704604); Guo, Xuefeng (7404330572); Hou, Wenhua (7203073067)",57202849530; 57224559883; 57343393900; 57201260011; 56263945800; 7201574067; 7201704604; 7404330572; 7203073067,Untying the Gordian knots of air-rechargeable aqueous Zn-based batteries based on an effective dead-zinc activation method,2025,Journal of Energy Chemistry,111,,,1030,1041,3,https://www.scopus.com/pages/publications/105015988472?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105015988472
Song P.; Li S.; Chen P.; Li X.; Zhao Z.; Chen W.,"Song, Pengcheng (59496788600); Li, Shuaijie (59547606800); Chen, Peng (59497596500); Li, Xiaoming (60022577900); Zhao, Zhihui (55836370800); Chen, Weichao (55580812600)",59496788600; 59547606800; 59497596500; 60022577900; 55836370800; 55580812600,Morphology manipulation with dual solvent constructing sandwich-structure in PA66 nanofiber membrane enables efficient air filtration and oil-water separation,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,726,,138020,,,2,https://www.scopus.com/pages/publications/105013244144?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105013244144
Ali N.S.; Sathya Sai K.N.; Alshehri S.A.; Venkatesan R.; Pabba D.P.; Khan L.A.; Sun S.; Hong Z.,"Ali, Noor shad (59508150000); Sathya Sai, K. Naga (57998894400); Alshehri, Sarah A. (57221304618); Venkatesan, Raja (56379758300); Pabba, Durga Prasad (58071673000); Khan, Luqman Ali (59271745900); Sun, Siyu (60020180600); Hong, Zhanglian (7201414459)",59508150000; 57998894400; 57221304618; 56379758300; 58071673000; 59271745900; 60020180600; 7201414459,Synergistic SnO2@Mo-MOF heterostructure: Boosting electrochemical performance for next-generation supercapacitors,2025,Materials Science in Semiconductor Processing,200,,109913,,,5,https://www.scopus.com/pages/publications/105012038837?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105012038837
Xie X.; Kong T.; Gao J.; Li R.; Wang Y.,"Xie, Xuanyu (60195730400); Kong, Taoyi (57222228318); Gao, Jiaming (60196208100); Li, Ruiyang (57219260376); Wang, Yonggang (57205479859)",60195730400; 57222228318; 60196208100; 57219260376; 57205479859,A low-redox-potential phenazine-based negolyte with high stability for aqueous organic flow batteries,2025,Chemical Science,16,47,,22368,22375,5,https://www.scopus.com/pages/publications/105024075366?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105024075366
Li M.; Han T.; Xia C.; Xu J.; Sun C.; Chen J.; Xu W.; Wang D.,"Li, Mengjie (56829737100); Han, Tingting (57194691537); Xia, Chunyue (57923435300); Xu, Juan (59728169200); Sun, Chong (55533738300); Chen, Jiahui (57218344325); Xu, Weimin (33867808600); Wang, Daoying (23989590000)",56829737100; 57194691537; 57923435300; 59728169200; 55533738300; 57218344325; 33867808600; 23989590000,A nanozyme-based dual-mode sensor for photoelectrochemical and colorimetric assay of Listeria monocytogenes,2025,Food Chemistry,495,,146508,,,11,https://www.scopus.com/pages/publications/105016879206?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105016879206
Wang T.; Yang G.; Cui M.; Xia H.; Jiang C.; Xia Y.; Chen K.; Yang M.; Bae J.; Gu C.; Ding Y.,"Wang, Tao (60207721300); Yang, Guo (59726784200); Cui, Mingjin (57192869941); Xia, Huitang (60207721400); Jiang, Chenlu (59932393600); Xia, Yuheng (60207152200); Chen, Ke (59899860400); Yang, Menghao (57221704326); Bae, Jiwoong (57199910326); Gu, Cheng (24463509600); Ding, Yu (56177786300)",60207721300; 59726784200; 57192869941; 60207721400; 59932393600; 60207152200; 59899860400; 57221704326; 57199910326; 24463509600; 56177786300,Self-charging organic flow batteries based on multivalent metal negative electrodes,2025,Nature Communications ,16,1,10338,,,4,https://www.scopus.com/pages/publications/105022740042?origin=resultslist,Nature Research,Article,Scopus,2-s2.0-105022740042
Pan J.; Hu X.; Xing X.; Zhang Y.; Wei Y.; Lu Z.,"Pan, Jiahao (57991001900); Hu, Xiangting (59695674400); Xing, Xing (57196326731); Zhang, Yuchen (57214255567); Wei, Ying (59782405400); Lu, Zhenda (57208803067)",57991001900; 59695674400; 57196326731; 57214255567; 59782405400; 57208803067,Ag Nanoparticle Arrays for Highly Sensitive and Reliable Sulfide Detection,2025,Chemical and Biomedical Imaging,3,12,,828,836,1,https://www.scopus.com/pages/publications/105006883307?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105006883307
Ying H.; Liu S.; Zhao Q.; Zheng H.; Wang M.; He C.; Cai L.; Zhang L.; Tian H.; Han G.; Han W.-Q.,"Ying, Hangjun (56597538200); Liu, Shenwen (58661496800); Zhao, Qinglong (59969348500); Zheng, Haonan (59253226800); Wang, Mengya (57292837300); He, Chaowei (58661384400); Cai, Lucheng (57765885400); Zhang, Lingjie (24833879000); Tian, Huajun (35575069600); Han, Gaorong (7202923438); Han, Wei-Qiang (55652084800)",56597538200; 58661496800; 59969348500; 59253226800; 57292837300; 58661384400; 57765885400; 24833879000; 35575069600; 7202923438; 55652084800,Functionalized Separator with Integrated Mass Transfer Selectivity and Kinetics Regulation toward Durable Zn Anodes,2025,ACS Nano,19,47,,40484,40496,7,https://www.scopus.com/pages/publications/105023475621?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105023475621
Sun Z.; Tang S.; Wang H.; Liu S.; Cai X.,"Sun, Zhen (59449234000); Tang, Shijun (57218707795); Wang, Haixu (59856470800); Liu, Shiyu (60234642300); Cai, Xiang (59587635000)",59449234000; 57218707795; 59856470800; 60234642300; 59587635000,A Carboxyl-Modified Polyaniline Cathode for High-Performance Aqueous Zinc-Ion Batteries,2025,Molecules,30,23,4498,,,0,https://www.scopus.com/pages/publications/105024570304?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus,2-s2.0-105024570304
Wu J.; Li T.; Yu B.; Sun X.; Yang L.; Du B.; Yang C.; Li J.; Liu S.; Chen Z.; Li S.; Yang C.,"Wu, Jiaqi (58659667600); Li, Tianchong (58029425500); Yu, Bowen (60253196500); Sun, Xuhui (60253044900); Yang, Lei (60252733000); Du, Baosheng (57190023176); Yang, Caixuan (59514757400); Li, Jian (57211880651); Liu, Shouxin (35272770400); Chen, Zhijun (55705706700); Li, Shujun (56346720300); Yang, Chenhui (59280941500)",58659667600; 58029425500; 60253196500; 60253044900; 60252733000; 57190023176; 59514757400; 57211880651; 35272770400; 55705706700; 56346720300; 59280941500,Real-Time Monitoring of Microbial Metabolic Dynamics through a Carbon Dot-Functionalized Whole-Cell Electrochemical Biosensor,2025,ACS Applied Materials and Interfaces,17,51,,69837,69845,0,https://www.scopus.com/pages/publications/105025687120?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105025687120
