Title,Year,Cited by,DOI,Link,Abstract,Author Keywords
Textile-Based Capacitive Pressure Distribution Measurement System for Human Sitting Posture Monitoring,2021,0,10.19884/j.1672-5220.202104010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.19884%2Fj.1672-5220.202104010&partnerID=40&md5=0a5f8269ac2b635caa571673f50557c4,"Flexible pressure monitoring device can help correct the sitting posture and prevent health problems(e.g., deformity of spinal column and musculoskeletal disease). Currently, most measurement systems hinder their wide applications owing to the high cost or low accuracy. In this study, a flexible sitting pressure measurement system was proposed based on a textile-based capacitive pressure sensor array in order to measure sitting pressure distribution simply and conveniently. The capacitive pressure sensor array is sandwich structure composed of a high-density sponge layer and two electrode array fabrics, which possesses high resolution(2.26 sensors/cm2), high sensitivity(0.701 kPa-1) and fast response(≤35 ms). It is worth noting that the raw materials of the sensing fabric include commercialized copper sheets and polyester yarns. The as-prepared pressure measurement system can accurately measure the pressure distribution nephogram for sitting posture analysis. The sitting pressure of 10 volunteers was measured and six types of posture were distinguished clearly.",Capacitive Pressure Sensor; Pressure Distribution; Sitting Posture; Smart Textile
Enhancement of the adhesion energy between monolayer graphene and SiO2 by thermal annealing,2021,13,10.1016/j.apsusc.2021.151243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.apsusc.2021.151243&partnerID=40&md5=feff9be9eacf289db054d87543f16171,"Because graphene is placed on a rigid or flexible substrate for future applications such as transparent or flexible electronic devices, the interfacial characteristics between graphene and the underlying substrate are of great importance for developing mechanically and electrically reliable devices. In this work, the interaction strength of large-area monolayer graphene transferred on SiO<inf>2</inf>/Si was adjusted by thermal treatments, and its adhesion energy was measured by mode I fracture tests using a double cantilever beam (DCB) configuration with a laminated composite (Si/SiO<inf>2</inf>/graphene/epoxy/SiO<inf>2</inf>/Si). Mechanical delamination of monolayer graphene from SiO<inf>2</inf> showed an adhesion energy of 1.5 ± 0.15 J/m2. It was found that thermal annealing of graphene on SiO<inf>2</inf> at 300 and 450 °C increased the adhesion energy to 2.2 ± 0.20 and 4.6 ± 0.31 J/m2, respectively. Characterization of graphene on SiO<inf>2</inf> using atomic force microscopy and Raman spectroscopy revealed that the enhanced adhesion energy was attributed to the improved conformal contacts of monolayer graphene with corrugated SiO<inf>2</inf> surfaces.",Adhesion Energy; Fracture Test; Graphene; Silicon Oxide; Thermal Annealing; Adhesion; Annealing; Cantilever Beams; Fracture; Fracture Testing; Laminated Composites; Monolayers; Silica; Silicon Carbide; Silicon Oxides; Substrates; Adhesion Energy; Double-cantilever Beam; Flexible Electronics Device; Flexible Substrate; Future Applications; Interaction Strength; Interfacial Characteristics; Mode I Fracture; Rigid Substrates; Thermal-annealing; Graphene
Hydrothermally grown uniform sized nickel hydroxide/oxyhydroxide hexagonal nanoprisms exhibiting room temperature ethanol sensing properties,2021,3,10.1016/j.apsusc.2021.151090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.apsusc.2021.151090&partnerID=40&md5=eb70868d2421f0295b05744eaed663f1,"This work reports a simple hydrothermal method for the synthesis of uniform sized hexagonal nanoprisms (~38 nm) of β-nickel hydroxide/oxyhydroxide that show room temperature ethanol sensing properties. The films made of these nanoprisms show response as high as 120 against 100 ppm ethanol vapour at room temperature with good repeatability over several cycles and fast response and recovery times of 2 s and 17 s, respectively. The films of nanoprisms also show high selectivity to ethanol vapour as evident from their almost negligible responses to other alcohol vapors and non-alcoholic vapors tested in this work. What is unique about the material is that it shows no degradation in performance with aging and humidity; rather shows an improved response and selectivity to ethanol at 75% relative humidity. The enhanced performance is explained in terms of the special surface properties of the nanoprisms that can adsorb excess oxygen via oxyhydroxide formation and large surface area as confirmed by photoemission and surface adsorption studies. Further, the change in infrared absorption intensity is measured to understand the decomposition reaction of ethanol on the nanoprism surface. Thus, the synthesized material shows enormous promise as a low-cost material for room temperature ethanol sensing.",Ethanol Sensor; Hexagonal Nanoprisms; Humid Air; Nickel Hydroxide; Photoelectron Spectroscopy; Room Temperature; Hydrothermal Synthesis; Light Absorption; Nanostructures; Nickel Compounds; Photoelectron Spectroscopy; Ethanol Sensing; Ethanol Sensors; Hexagonal Nanoprism; Humid Air; Nanoprisms; Nickel Hydroxides; Oxyhydroxides; Room Temperature; Sensing Property; Uniform-sized; Ethanol
"Eco-Friendly Superhydrophobic Composites with Thermostability, UV Resistance, and Coating Transparency",2021,28,10.1021/acsami.1c20419,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c20419&partnerID=40&md5=86d2369707e70fe2ba7aa3aa8821fd71,"Despite the market demand for biofiber assemblies endowed with superhydrophobicity being huge, the current approaches to their production are complicated, time-consuming, and even pose a serious threat to the environment. Here, we report a simple surface treatment strategy to prepare environmentally friendly superhydrophobic biofiber composites. The obtained samples have certain UV resistance properties, which are mainly determined by the titanium dioxide (TiO2) dosage. Additionally, the sample has excellent thermal stability, and the contact angle is maintained at 153.26° after heat treatment at 140 °C for 1 h. Quite encouragingly, thermal annealing of samples can transform translucent coatings into transparent structures and increase the tensile strength. The results also showed that this strategy could be integrated into the mass production process of other biofiber components as coating, such as coated paper, pulp boards, cotton gauzes, tissues, and so forth. Due to the facile preparation and environment-friendliness, this sustainable paper-based product can be used in diversified applications: packaging and storage of liquid food, protection of ancient books, UV- and rain-proof materials, and teaching demonstrations relevant to bionics, among others.",Anti-adhesion; Anti-ultraviolet; Coating Transparency; Eco-friendly; Thermostability; Biomimetics; Coatings; Contact Angle; Environmental Protection; Food Storage; Hydrophobicity; Surface Treatment; Tensile Strength; Titanium Dioxide; Transparency; Viscosity; 'current; Anti Ultraviolets; Antiadhesion; Biofibres; Coating Transparency; Eco-friendly; Market Demand; Superhydrophobicity; Uv Coatings; Uv Resistance; Stability; Composites; Heat Treatment; Paper; Production; Resistance; Samples; Transparence
Patterning of Metal Nanowire Networks: Methods and Applications,2021,48,10.1021/acsami.1c14816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c14816&partnerID=40&md5=f466c6dbfe9d89fd20fb0ab70be10a11,"With the advance in flexible and stretchable electronics, one-dimensional nanomaterials such as metal nanowires have drawn much attention in the past 10 years or so. Metal nanowires, especially silver nanowires, have been recognized as promising candidate materials for flexible and stretchable electronics. Owing to their high electrical conductivity and high aspect ratio, metal nanowires can form electrical percolation networks, maintaining high electrical conductivity under deformation (e.g., bending and stretching). Apart from coating metal nanowires for making large-area transparent conductive films, many applications require patterned metal nanowires as electrodes and interconnects. Precise patterning of metal nanowire networks is crucial to achieve high device performances. Therefore, a high-resolution, designable, and scalable patterning of metal nanowire networks is important but remains a critical challenge for fabricating high-performance electronic devices. This review summarizes recent advances in patterning of metal nanowire networks, using subtractive methods, additive methods of nanowire dispersions, and printing methods. Representative device applications of the patterned metal nanowire networks are presented. Finally, challenges and important directions in the area of the patterning of metal nanowire networks for device applications are discussed.",Flexible Electronics; Metal Nanowires; Patterning Techniques; Printing; Silver Nanowires; Stretchable Electronics; Aspect Ratio; Conductive Films; Electric Conductivity; Electric Resistance Measurement; Nanowires; Silver; Solvents; Candidate Materials; Device Application; High Electrical Conductivity; Metal Nanowire; Nanowire Networks; Network Applications; Network Methods; One-dimensional Nanomaterials; Patterning Techniques; Stretchable Electronics; Flexible Electronics
Graphite-Based Bioinspired Piezoresistive Soft Strain Sensors with Performance Optimized for Low Strain Values,2021,32,10.1021/acsami.1c14228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c14228&partnerID=40&md5=3a7f39c8996c9d00f20c0bc1867fb917,"This paper presents the custom-made graphite-based piezoresistive strain sensor with gecko foot-inspired macroscopic features realized using a Velcro tape on Ecoflex substrate. The Velcro-based design provides an inexpensive and easy approach for the development of soft sensors with appreciable improvement in the performance even at low strain values. The sensor demonstrated excellent response (sensitivity of ∼16 »500%, gauge factor of ∼3800) for 24% linear strain. The fabricated device showed a high gauge factor (>100) even for very low strain values. The sensor has been extensively characterized with a view to potentially use in soft robotics applications where high performance is needed at lower strain values. It is observed that the piezoresistive behavior of strain sensors is governed by several factors such as the supporting elastic medium, architecture of the strain sensor, material properties, strain rate and deformation sequence, and direction.",Bioinspiration; Gauge Factor; Piezoresistive; Strain Sensor; Velcro; Gages; Graphite; Bio-inspiration; Ecoflex; Gage Factors; Gecko Feet; Low Strains; Performance; Piezo-resistive; Strain Sensors; Strain Values; Velcro; Strain Rate
Nanoarchitectonics for Electrospun Membranes with Asymmetric Wettability,2021,40,10.1021/acsami.1c16047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c16047&partnerID=40&md5=884f9a7387170bca5b0d0155f522fcbe,"Membranes with asymmetric wettability have attracted significant interest by virtue of their unique transport characteristics and functionalities arising from different wetting behaviors of each membrane surface. The cross-sectional wettability distinction enables a membrane to realize directional liquid transport or multifunction integration, resulting in rapid advance in applications, such as moisture management, fog collection, oil-water separation, and membrane distillation. Compared with traditional homogeneous membranes, these membranes possess enhanced transport performance and higher separation efficiency owing to the synergistic or individual effects of asymmetric wettability. This Review covers the recent progress in fabrication, transport mechanisms, and applications of electrospun membranes with asymmetric wettability and provides a perspective on future development in this important area.",Asymmetric Membrane; Asymmetric Wettability; Directional Liquid Transport; Membrane Separation; Surface Modification; Distillation; Membranes; Petroleum Transportation; Asymmetric Membranes; Asymmetric Wettability; Directional Liquid Transport; Electrospun Membranes; Liquid Transport; Membrane Separation; Membrane Surface; Surface-modification; Transport Characteristics; Wetting Behavior; Wetting; Article; Distillation; Moisture; Wettability
"Injectable and Self-Healing Hydrogels with Double-Dynamic Bond Tunable Mechanical, Gel-Sol Transition and Drug Delivery Properties for Promoting Periodontium Regeneration in Periodontitis",2021,86,10.1021/acsami.1c18701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c18701&partnerID=40&md5=0af2401641e5fcee1a8564d053993ada,"Injection of a hydrogel loaded with drugs with simultaneous anti-inflammatory and tissue regenerating properties can be an effective treatment for promoting periodontal regeneration in periodontitis. Nevertheless, the design and preparation of an injectable hydrogel with self-healing properties for tunable sustained drug release is still highly desired. In this work, polysaccharide-based hydrogels were formed by a dynamic cross-linked network of dynamic Schiff base bonds and dynamic coordination bonds. The hydrogels showed a quick gelation process, injectability, and excellent self-healing properties. In particular, the hydrogels formed by a double-dynamic network would undergo a gel-sol transition process without external stimuli. And the gel-sol transition time could be tuned by the double-dynamic network structure for in situ stimuli involving a change in its own molecular structure. Moreover, the drug delivery properties were also tunable owing to the gel-sol transition process. Sustained drug release characteristics, which were ascribed to a diffusion process, were observed during the first stage of drug release, and complete drug release owing to the gel-sol transition process was achieved. The sustained drug release time could be tuned according to the double-dynamic bonds in the hydrogel. The CCK-8 assay was used to evaluate the cytotoxicity, and the result showed no cytotoxicity, indicating that the injectable and self-healing hydrogels with double-dynamic bond tunable gel-sol transition could be safely used in controlled drug delivery for periodontal disease therapy. Finally, the promotion of periodontal regeneration in periodontitis in vivo was investigated using hydrogels loaded with ginsenoside Rg1 and amelogenin. Micro-CT and histological analyses indicated that the hydrogels were promising candidates for addressing the practical needs of a tunable drug delivery method for promoting periodontal regeneration in periodontitis.",Anti-inflammatory Therapy; Double-dynamic Bond Tunable Drug Delivery; Injectable Hydrogel; Promoting Periodontal Regeneration; Self-healing; Ginsenoside; Ginsenoside Rg 1; Amelogenin; Biocompatible Materials; Central Nervous System Agents; Ginsenoside Rg1; Ginsenosides; Hydrogels; Computerized Tomography; Controlled Drug Delivery; Disease Control; Diseases; Drug Products; Gelation; Self-healing Materials; Sols; Targeted Drug Delivery; Tissue Regeneration; Anti-inflammatories; Anti-inflammatory Therapy; Double-dynamic Bond Tunable Drug Delivery; Gel-sol Transitions; Injectable Hydrogels; Promoting Periodontal Regeneration; Property; Self-healing; Sustained Drug Release; Tunables; Hydrogels; Amelogenin; Biomaterial; Central Nervous System Agents; Ginsenoside; Ginsenoside Rg 1; Chemistry; Drug Delivery System; Drug Effect; Drug Release; Hydrogel; Materials Testing; Periodontitis; Periodontium; Synthesis; Amelogenin; Biocompatible Materials; Central Nervous System Agents; Drug Delivery Systems; Drug Liberation; Ginsenosides; Materials Testing; Periodontitis; Periodontium
Porous Mixed-Metal Oxide Li-Ion Battery Electrodes by Shear-Induced Co-assembly of Precursors and Tailored Polymer Particles,2021,16,10.1021/acsami.1c19027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.1c19027&partnerID=40&md5=c237ff4ea16662d27ea75fafa6cc0f95,"Due to their various applications, metal oxides are of high interest for fundamental research and commercial usage. Per applications as catalysts or electrochemical devices, the tailored design of metal oxides featuring a high specific surface area and additional functionalities is of the utmost importance for the performance of the resulting materials. We report a new method for preparing free-standing films consisting of hierarchically porous metal oxides (titanium and niobium based) by combining emulsion polymerization and shear-induced monodisperse particle self-assembly in the presence of sol-gel precursors. After thermal treatment, the resulting porous materials can be used as electrodes in Li-ion batteries. The titanium and niobium sol-gel precursors were partially immobilized to the surface of organic core-interlayer particles featuring hydroxyl groups to obtain hybrid organic-inorganic particles through the melt-shear organization process. Free-standing particle-based films, in analogy to elastomeric opal films and colloidal crystals, can be prepared in a convenient one-step preparation process. After thermal treatment, ordered pores are obtained, while the pristine metal oxide precursor shell can be converted to the (mixed) metal oxide matrix. Heat treatment under CO2 leads to mixed-TiNb oxide/carbon hybrid materials. The highly porous derivative structure enhances electrolyte permeation. When tested as Li-ion battery electrodes, it shows a specific capacity of 335 mAh·g-1 at a rate of 10 mA·g-1. After 1000 cycles at 250 mA·g-1, the electrodes still provided a specific capacity of 191 mAh·g-1.",Core-shell Particles; Emulsion Polymerization; Li-ion Battery; Melt-shear Organization; Metal Oxide; Porous Ceramics; Sol-gel Chemistry; Electrodes; Electrolytes; Emulsification; Emulsion Polymerization; Film Preparation; Heat Treatment; Ions; Niobium; Organic-inorganic Materials; Sol-gel Process; Sol-gels; Core/shell Particles; Li-ion Battery Electrodes; Melt-shear Organization; Metal-oxide; Mixed Metal Oxide; Porous Ceramics; Shear-induced; Sol-gel Chemistry; Sol-gel Precursors; Specific Capacities; Lithium-ion Batteries
"""indanonalkene"" Photoluminescence Platform: Application in Real-Time Tracking the Synthesis, Remodeling, and Degradation of Soft Materials",2021,20,10.1021/jacs.1c09895,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Fjacs.1c09895&partnerID=40&md5=044c95d0e55ac7d39f97bcb02f501d6a,"In this Article, we present a strategy to visually track chemically triggered covalent bonding processes in gelation, remodeling, and degradation of soft materials, i.e., hydrogels, based on a new photoluminescence platform. Initially in the development of photoluminophors named ""indanonalkenes"", turn-on emission can be tracked and quantified in the optical reaction between a conjugate acceptor and amine derivatives. On this basis, fluorescence enhancement and mechanical changes were recorded during the gelation process through amine-thiol exchanges under organic and aqueous conditions. Next in macromolecular remodeling, we realized a stimulus-induced transformation of one architecture into another one, exploiting the orthogonality of chemical covalent bonding that could be visualized using luminescence. Furthermore, the hydrogel network can be degraded to release the coupling partner induced by ethylene diamine, and the process can be monitored using fluorescence changes and quantified through gel permeation chromatography, while the released components can be utilized again to regenerate a new hydrogel. In addition, the photographic images provide alternatives to fluorescence spectra and can be digitally processed to quantify the macroscopic changes, resulting in a photographic imaging approach. The real-time observation and quantification of chemically triggered polymeric formation, morphology, and degradation through luminescence in spatial and time scales herald a new generation of ""smart""materials.",Ethylenediamine; Chemical Bonds; Ethylene; Fluorescence; Gel Permeation Chromatography; Hydrogels; Photography; Photoluminescence; Amine Derivatives; Bonding Process; Covalent Bonding; Fluorescence Enhancement; Gelation Process; Mechanical; Optical-; Organics; Real Time Tracking; Softer Materials; Gelation; Alkene Derivative; Amine; Ethylenediamine; Hydrogel; Indanonalkene; Thiol; Unclassified Drug; Article; Chemical Binding; Degradation; Fluorescence; Gel Permeation Chromatography; Gelation; Luminescence; Mass Spectrometry; Morphology; Nuclear Magnetic Resonance Spectroscopy; Photoluminescence; Spectrofluorometry; Synthesis; Ultraviolet Visible Spectrophotometry
